Product List as of 15/07/2025,,,,,,
Product Code,Product Description,Product Group,Minimum Order Quantity,Lead Time (Days),Base Unit,
Orange peel,Dried Organic Orange Peel - Citrus sinensis,Dried plant,10000,3,G,
Gotu Kola,Dried Organic Leaf ( Aerial parts)  - Centella asiatica,Dried plant,10000,3,G,
Ginkgo,Dried Ginkgo Leaf -  Ginkgo biloba L.,Dried plant,10000,3,G,
Cinnamon,"Dried Organic Cinnamon Bark - Cinnamomum verum , J.Presl",Dried plant,10000,3,G,
Rose Petal,Dried buds/flowers - Rosa damascena.,Dried plant,10000,3,G,
Potassium Sorbate,Preservative controlling mold.,Preservative,25000,5,G,
Passion Flower,Dried plant. Comes cut. Passiflora incarnata,Dried plant,10000,3,G,
Gold Extract Blend,The blend of extracts in Sentia Gold,Extract,1000,7,G,
Sentia-Gold Brew 1,Brew 1 that goes into making Sentia Gold,Brew,1600,1,L,
SentiaUS-3001-6,A box of 6x50cl Sentia Gold for US,Spirit,,,PCS,
SentiaUS-3001,50cl bottle of Sentia Gold for US,Spirit,,,PCS,
SentiaEU-3001-6,A box of 6 x 50cl Sentia Gold for EU (English Label),Spirit,,,PCS,
SentiaEU-3001,50cl bottle of Sentia Gold for EU (English Label),Spirit,,,PCS,
Label - US Sentia Gold 50cl - Seal,USGoldSeal22mmx78mm,Packaging,5000,14,PCS,
Sentia-Black Brew 3,Brew 3 that goes into making Sentia Black,Brew,1600,14,L,
Sentia-Red Brew 3,Brew 3 that goes into making Sentia Red (without linden),Brew,1600,14,L,
SentiaEU-2001-6,A box of 6 x 50cl Sentia Black for EU (English Label),Spirit,,,PCS,
SentiaEU-1001-6,A box of 6x50cl Sentia Red for EU (English Label),Spirit,,,PCS,
SentiaEU-2001,50cl bottle of Sentia Black for EU (English Label),Spirit,,,PCS,
SentiaEU-1001,50cl bottle of Sentia Red for EU (English Label),Spirit,,,PCS,
Label - US Sentia Black 50cl - Seal,USBlackSeal22mmx78mm,Packaging,1000,14,PCS,
SentiaUS-2001-6,A box of 6x50cl Sentia Black,Spirit,,,PCS,
SentiaUS-2001,50cl bottle of Sentia Black,Spirit,,,PCS,
SentiaUS-1001,50cl bottle of Sentia Red for US,Spirit,,,PCS,
SentiaUS-1001-6,A box of 6x50cl Sentia Red,Spirit,,,PCS,
Label - US Sentia Red 50cl - Seal,USRedSeal22mmx78mm,Packaging,1000,14,PCS,
Arlington metal liner,"1,000L metal liner which we need to go into the Arlington for each brew.",Packaging,10,3,,
Omega Black Blend,A blend of extracts supplied by Omega for Black,Extract,1000,3,G,
Sentia3001-6,A box of 6x50cl Sentia Gold,Spirit,,,PCS,
Sentia3001,50cl bottle of Sentia Gold,Spirit,,,PCS,
Sentia2001-6,A box of 6x50cl Sentia Black,Spirit,,,PCS,
Sentia2001,50cl bottle of Sentia Black,Spirit,,,PCS,
Worm-wood fluid extract,Sensient Worm-wood fluid extract A - 1203897. Artemisia absinthium.,Extract,4000,21,G,
Sensient Black Blend,A blend of extracts used in Sentia Black.,Extract,1000,1,G,
Vaishali Black Blend,A blend of oleoresins used in Sentia Black.,Extract,,90,G,
Angelica Root,Dried Organic Root / Angelica archangelica L. / Cut,Dried plant,10000,10,G,
Water - for sparging - 75c,The water that is added to the mash during sparging,Water,,5,L,
Water - for mixing - 5-15c,The water that is used to mix in juices & extracts,Water,,5,L,
Water - for mixing - 40c,The water that is used to mix in the spray dried extracts,Water,,5,L,
Water - for mash - 85c,The water that is added into the mashtun with the plants for overnight steeping,Water,,5,L,
Tulsi Vana,Dried leaves of Tulsi Vana - Ocimum gratissimum.,Dried plant,100000,90,G,
Sentia1001-6,A box of 6x50cl Sentia Red,Spirit,,,PCS,
Sentia1001,50cl bottle of Sentia Red,Spirit,,,PCS,
Malic Acid,Acid for pH control,Acid,25000,3,G,
MagnoliaBarkCut,Magnolia officinalis Bark that has been milled to between 3-8mm.,Dried plant,500000,3,G,
Linden,Cut linden/Lime Flower Blossom and leaves - Tilia spp.,Dried plant,160000,3,G,
Blackberry Concentrate,Aseptic Blackberry juice concentrate - Rubus fruticosus - Liquid concentrate,Juice,25000,25,G,
Ashwagandha,"Dried root of Ashwagandha cut to 3-8mm - Withania somnifera , Dunal",Dried plant,500000,120,G,
